timeToEncrypt,timeToSendMsg,timeToDecrypt,total
65980053,12399807624,1315608,12467103285
32437176,13842281776,3634873,13878353825
53826598,12005996257,1137203,12060960058
33712379,13294796944,2504860,13331014183
48511774,13099763314,1271093,13149546181
64972973,12933078955,1207743,12999259671
34925258,12392196135,2495273,12429616666
138763465,28535299875,1140971,28675204311
58692843,12768212889,1237877,12828143609
57471402,11944718425,1223495,12003413322
316199721,39489858995,1229659,39807288375
32431355,12789593408,1243014,12823267777
45249463,13361877902,1209113,13408336478
42474768,14007162908,1340949,14050978625
44033158,13454514947,3626655,13502174760
42497368,10375924298,1191991,10419613657
57489894,25280280736,2552459,25340323089
68732832,12895835802,2522667,12967091301
210020676,12738325774,1422445,12949768895
53782768,19425596903,1333757,19480713428
58638739,12569691630,1150558,12629480927
57489893,13292261949,1199183,13350951025
57506672,13531930041,17614839,13607051552
32497101,13014539151,1206717,13048242969
30079902,12693345802,3698223,12727123927
